,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
17735,70.94,0.11576099999999999,0.5625,-0.025439146484374998,-0.0401890859375,1.0,0.0,1.0,1.0,30136.0,1.0,84.0
17736,70.944,0.1157698515625,0.5625,-0.025438609374999997,-0.04019411328125,1.0,0.0,1.0,1.0,30137.0,1.0,84.0
17737,70.948,0.115786484375,0.5625,-0.025441224609375,-0.040200484375,1.0,0.0,1.0,1.0,30138.0,1.0,84.0
17738,70.952,0.115788359375,0.5625,-0.02544383984375,-0.04020309765625,1.0,0.0,1.0,1.0,30139.0,1.0,84.0
17739,70.956,0.11578199218749999,0.5625,-0.025441693359375,-0.040204375,1.0,0.0,1.0,1.0,30140.0,1.0,84.0
17740,70.96,0.1157785703125,0.5625,-0.02544189453125,-0.040198203125,1.0,0.0,1.0,1.0,30141.0,1.0,84.0
17741,70.964,0.11578393749999999,0.5625,-0.025439212890625,-0.040196863281249995,1.0,0.0,1.0,1.0,30142.0,1.0,84.0
17742,70.968,0.115795203125,0.5625,-0.025438140624999998,-0.040196593749999995,1.0,0.0,1.0,1.0,30143.0,1.0,84.0
17743,70.972,0.11579614062499999,0.5625,-0.025435123046874997,-0.0401971328125,1.0,0.0,1.0,1.0,30144.0,1.0,84.0
17744,70.976,0.1157868203125,0.5625,-0.02543378125,-0.04019894140625,1.0,0.0,1.0,1.0,30145.0,1.0,84.0
17745,70.98,0.115774546875,0.5625,-0.025436666015624998,-0.0401978671875,1.0,0.0,1.0,1.0,30146.0,1.0,84.0
17746,70.984,0.115777765625,0.5625,-0.025435591796875,-0.0402012890625,1.0,0.0,1.0,1.0,30147.0,1.0,84.0
17747,70.988,0.11578903125,0.5625,-0.02543659765625,-0.04020524609375,1.0,0.0,1.0,1.0,30148.0,1.0,84.0
17748,70.992,0.11578929687499999,0.5625,-0.025437873046875,-0.040197734374999995,1.0,0.0,1.0,1.0,30149.0,1.0,84.0
17749,70.996,0.11578132031249999,0.5625,-0.02544021875,-0.04019505078125,1.0,0.0,1.0,1.0,30150.0,1.0,84.0
17750,71.0,0.11577709374999999,0.5625,-0.025444175781249998,-0.040196593749999995,1.0,0.0,1.0,1.0,30151.0,1.0,84.0
